reflector_ip,ip_version,description,country_code,country_name,region,sub_region
117.52.96.100,4,ownerclan.com,KR,Korea, Republic of,Asia,Eastern Asia
222.239.176.253,4,pandalive.co.kr,KR,Korea, Republic of,Asia,Eastern Asia
222.239.176.254,4,pandalive.co.kr,KR,Korea, Republic of,Asia,Eastern Asia
15.164.113.145,4,paxnetnews.com,KR,Korea, Republic of,Asia,Eastern Asia
49.247.36.127,4,pharmatalk.org,KR,Korea, Republic of,Asia,Eastern Asia
210.205.6.135,4,playdapp.io,KR,Korea, Republic of,Asia,Eastern Asia
14.129.200.21,4,podbbang.com,KR,Korea, Republic of,Asia,Eastern Asia
14.0.44.244,4,president.go.kr,KR,Korea, Republic of,Asia,Eastern Asia
14.0.112.199,4,president.go.kr,KR,Korea, Republic of,Asia,Eastern Asia
14.0.113.230,4,president.go.kr,KR,Korea, Republic of,Asia,Eastern Asia
14.0.41.14,4,president.go.kr,KR,Korea, Republic of,Asia,Eastern Asia
14.0.43.207,4,president.go.kr,KR,Korea, Republic of,Asia,Eastern Asia
222.234.220.46,4,pressian.com,KR,Korea, Republic of,Asia,Eastern Asia
115.68.47.124,4,publog.co.kr,KR,Korea, Republic of,Asia,Eastern Asia
115.68.199.108,4,quant-k.co.kr,KR,Korea, Republic of,Asia,Eastern Asia
117.52.31.234,4,rentalline.co.kr,KR,Korea, Republic of,Asia,Eastern Asia
117.52.164.229,4,sbcplan.or.kr,KR,Korea, Republic of,Asia,Eastern Asia
133.186.209.117,4,sellstart.co.kr,KR,Korea, Republic of,Asia,Eastern Asia
13.209.198.205,4,snaps.com,KR,Korea, Republic of,Asia,Eastern Asia
118.44.178.50,4,spmainnet.com,KR,Korea, Republic of,Asia,Eastern Asia
220.68.87.4,4,step.or.kr,KR,Korea, Republic of,Asia,Eastern Asia
210.127.209.115,4,suidc.com,KR,Korea, Republic of,Asia,Eastern Asia
121.78.145.37,4,techno-press.org,KR,Korea, Republic of,Asia,Eastern Asia
101.79.5.201,4,timeforum.co.kr,KR,Korea, Republic of,Asia,Eastern Asia
34.64.180.130,4,todaybeststory.com,KR,Korea, Republic of,Asia,Eastern Asia
61.100.186.155,4,todaysppc.com,KR,Korea, Republic of,Asia,Eastern Asia
65.49.30.179,4,toomics.es,KR,Korea, Republic of,Asia,Eastern Asia
65.49.30.176,4,toomics.es,KR,Korea, Republic of,Asia,Eastern Asia
65.49.30.177,4,toomics.es,KR,Korea, Republic of,Asia,Eastern Asia
65.49.30.178,4,toomics.es,KR,Korea, Republic of,Asia,Eastern Asia
221.149.41.86,4,topten10mall.com,KR,Korea, Republic of,Asia,Eastern Asia
101.33.77.157,4,trontrx.org,KR,Korea, Republic of,Asia,Eastern Asia
14.0.113.172,4,truefriend.com,KR,Korea, Republic of,Asia,Eastern Asia
141.164.54.54,4,tv-nolgoga.com,KR,Korea, Republic of,Asia,Eastern Asia
103.82.143.153,4,ulzdk.com,KR,Korea, Republic of,Asia,Eastern Asia
222.231.31.149,4,unipost.co.kr,KR,Korea, Republic of,Asia,Eastern Asia
118.107.170.195,4,valofe.com,KR,Korea, Republic of,Asia,Eastern Asia
1.250.0.14,4,Verizon (Newark NJ),KR,Korea, Republic of,Asia,Eastern Asia
1.252.0.14,4,Verizon (Reston VA),KR,Korea, Republic of,Asia,Eastern Asia
1.252.0.12,4,Verizon (Reston VA),KR,Korea, Republic of,Asia,Eastern Asia
59.25.185.52,4,virditech.com,KR,Korea, Republic of,Asia,Eastern Asia
222.239.176.201,4,winktv.co.kr,KR,Korea, Republic of,Asia,Eastern Asia
175.126.168.36,4,winktv.co.kr,KR,Korea, Republic of,Asia,Eastern Asia
103.86.47.254,4,wjdrying.com,KR,Korea, Republic of,Asia,Eastern Asia
202.79.170.254,4,yabo-net.com,KR,Korea, Republic of,Asia,Eastern Asia
121.170.228.5,4,yg1.kr,KR,Korea, Republic of,Asia,Eastern Asia
112.146.150.99,4,zzxx373014.synology.me,KR,Korea, Republic of,Asia,Eastern Asia
